recorte,numero_mask,8_layers_8channels,32_layers_8channels,64_layers_8channels,8_layers_1channels,32_layers_1channels
816,54.0,0.8163265306122449,0.8543689320388349,0.8846153846153846,0.7666666666666667,0.7310344827586207
819,0.0,1.0,1.0,1.0,0.0,1.0
823,309.0,0.901840490797546,0.9199372056514914,0.9300813008130081,0.9143730886850153,0.9177215189873418
826,0.0,1.0,1.0,1.0,1.0,1.0
827,0.0,1.0,1.0,1.0,1.0,1.0
835,0.0,1.0,1.0,1.0,1.0,1.0
837,0.0,1.0,1.0,1.0,1.0,0.0
843,795.0,0.9778621125869703,0.978343949044586,0.9716129032258064,0.9727385377942999,0.9830932999373826
851,0.0,1.0,1.0,1.0,1.0,1.0
858,136.0,0.8833922261484098,0.9029850746268657,0.9022556390977443,0.8741258741258742,0.8791208791208791
860,575.0,0.9132653061224489,0.9122502172024327,0.9193976970770593,0.863275039745628,0.8842975206611571
864,23.0,0.8292682926829268,0.8780487804878049,0.7906976744186046,0.9130434782608695,0.875
869,79.0,0.9308176100628931,0.9178082191780822,0.9743589743589743,0.9341317365269461,0.9506172839506173
870,0.0,1.0,1.0,1.0,1.0,1.0
872,0.0,1.0,1.0,1.0,1.0,1.0
875,307.0,0.916030534351145,0.9322834645669291,0.9233226837060703,0.87627365356623,0.897196261682243
877,0.0,1.0,1.0,0.0,1.0,1.0
879,0.0,0.0,1.0,1.0,1.0,0.0
887,0.0,1.0,1.0,1.0,1.0,1.0
889,0.0,1.0,1.0,1.0,1.0,0.0
891,175.0,0.7953488372093023,0.7953488372093023,0.8229426433915212,0.7341772151898734,0.7592190889370932
906,0.0,1.0,1.0,1.0,0.0,1.0
907,0.0,1.0,1.0,1.0,1.0,1.0
908,0.0,1.0,1.0,1.0,1.0,1.0
925,0.0,1.0,1.0,1.0,1.0,1.0
933,568.0,0.896774193548387,0.8906624102154829,0.8883495145631068,0.7979274611398963,0.8402832415420929
934,11.0,0.8461538461538461,0.9523809523809523,0.625,0.7586206896551724,0.8
941,0.0,1.0,1.0,1.0,1.0,1.0
944,0.0,1.0,1.0,1.0,1.0,1.0
945,0.0,1.0,1.0,1.0,1.0,1.0
